Sigma Colour,Sigma Space,Average Similarity
220,1.4,-7.994738188732142
220,0.7,-8.925752194237626
200,2.8,-8.842576565020218
220,1.5,-8.054487793286583
220,1.3,-7.951150742657066
220,1.6,-8.125275204370864
220,1.7,-8.203635074580648
220,1.8,-8.286837054841452
220,2.2,-8.633417258760856
220,2.6,-8.95303517032489
220,2.4,-8.79931667617209
220,1.9,-8.372813387244394
220,2.0,-8.460096292215587
220,2.1,-8.547310811466941
220,2.3,-8.717620091864182
220,2.7,-9.024558135333287
220,2.9,-9.156353434459534
220,2.8,-9.09231113910883
240,0.0,-8.036879660986314
240,0.3,-16.215890304606635
220,2.5,-8.877867030560818
240,0.2,-16.364855488549825
240,0.4,-14.285239546646915
240,0.7,-8.859430099740711
240,0.1,-16.36485548854982
240,1.3,-8.03695147551662
240,0.5,-11.545897432510957
240,0.6,-9.76705589803446
240,0.9,-8.1557495299249
240,1.1,-7.9934122550257785
240,1.0,-8.036879660986315
240,1.5,-8.171320768901857
240,1.2,-7.998950270734217
240,1.6,-8.255701868401154
240,0.8,-8.397284807537693
240,1.8,-8.441348498454051
240,2.2,-8.82675126071223
240,1.4,-8.096817225734215
240,2.1,-8.73188153582601
240,2.3,-8.919072850285053
240,1.7,-8.346538682506248
240,2.5,-9.09373580456593
240,1.9,-8.53807498241253
240,2.0,-8.635386142051892
240,2.7,-9.252715406233824
240,2.4,-9.008203333794318
260,0.1,-16.364855488549825
240,2.6,-9.175264869258822
240,2.8,-9.32588937522967
260,1.1,-8.046852832449314
260,0.5,-11.460785747687892
260,0.6,-9.693444348268427
260,0.8,-8.382401230257196
260,0.3,-16.208203562381684
260,0.4,-14.234592407352162
260,0.0,-8.07067084740257
260,0.2,-16.364855488549825
240,2.9,-9.394948422436054
260,0.7,-8.814945892735887
260,0.9,-8.167041195422174
260,1.0,-8.07067084740257
260,1.5,-8.283929788671406
260,1.7,-8.481477729897193
260,1.3,-8.123034863001878
260,1.2,-8.0696489401822
260,1.4,-8.196742821605385
260,1.6,-8.379879451278573
260,1.8,-8.586238017312782
260,2.1,-8.902921697863974
260,2.2,-9.00529889321808
260,1.9,-8.692253625046368
260,2.0,-8.79828300622693
260,2.3,-9.104568617968836
260,2.4,-9.200223699192913
260,2.6,-9.378880519204872
260,2.9,-9.612833299955343
260,2.5,-9.291764927485104
260,2.7,-9.46146509663552
280,0.0,-8.108425093169458
280,0.2,-16.364855488549825
260,2.8,-9.539444723405689
280,0.1,-16.36485548854982
280,0.4,-14.192727504643395
280,0.3,-16.202023089186365
280,0.5,-11.392566346318409
280,0.6,-9.6376381985233
280,0.9,-8.185534468794502
280,0.7,-8.785249483847613
280,1.1,-8.101314899074657
280,1.2,-8.138858653976849
280,1.0,-8.108425093169458
280,0.8,-8.378466548546264
280,1.4,-8.290970131335717
280,1.3,-8.205397493742739
280,1.6,-8.494876415299723
280,1.7,-8.605731169914787
280,1.8,-8.719041000445618
280,1.5,-8.388938315615059
280,2.2,-9.16725098782548
280,2.6,-9.562626318330002
280,2.1,-9.058332410517679
280,2.4,-9.373950175489481
280,1.9,-8.833139769574624
280,2.3,-9.272602697424029
280,2.5,-9.470697332846866
300,0.7,-8.765663240099743
280,2.0,-8.946668260851878
280,2.7,-9.649710622154272
300,1.0,-8.146929803952892
300,0.2,-16.364855488549825
300,0.4,-14.15782100237845
300,0.3,-16.196932543826442
280,2.8,-9.73178956645147
280,2.9,-9.808950638802207
300,0.5,-11.337284344224969
300,0.8,-8.38123464099275
300,0.0,-8.146929803952894
300,0.1,-16.36485548854982
300,0.6,-9.594798381288209
300,1.1,-8.154115119686862
300,0.9,-8.207573444379383
300,1.4,-8.377737153781682
300,1.2,-8.204198992200642
300,1.5,-8.485014076960203
300,1.7,-8.718391939323771
300,1.3,-8.2819890925306
300,1.6,-8.599594879693834
300,2.1,-9.197977304491873
300,1.9,-8.96022112102376
300,1.8,-8.839157268445339
300,2.2,-9.312597411552881
300,2.0,-9.08025630929699
300,2.3,-9.42327271450416
300,2.8,-9.903563954278633
300,2.5,-9.630832406602062
300,2.4,-9.529525042444229
300,2.6,-9.72695804444018
300,2.7,-9.817873504239637
320,0.1,-16.364855488549825
320,0.0,-8.184363027339938
300,2.9,-9.984016282531949
320,0.6,-9.561539729351713
320,0.2,-16.364855488549825
320,0.7,-8.752975720677753
320,0.4,-14.12854108813427
320,0.5,-11.292020389738918
320,0.8,-8.387934192703296
320,0.3,-16.19268352803262
320,0.9,-8.230863782334373
320,1.0,-8.184363027339936
320,1.2,-8.264620712394214
320,1.9,-9.073964225146193
320,1.3,-8.352105493872948
320,1.1,-8.203766395904934
320,2.6,-9.873134235008893
320,1.8,-8.946863951743007
320,1.5,-8.57193572394232
320,1.4,-8.456577724169806
320,2.0,-9.199632594492408
320,1.7,-8.81961033960759
320,1.6,-8.693928228562642
320,2.2,-9.442262318774137
320,2.7,-9.967404642981885
320,2.1,-9.322692247582298
340,0.0,-8.219701665551035
320,2.8,-10.05619398101531
320,2.4,-9.66802101505235
320,2.9,-10.139500439459207
340,0.1,-16.364855488549825
340,0.4,-14.103722447867582
340,0.3,-16.189096844127086
340,0.2,-16.364855488549825
320,2.3,-9.55752459758782
340,0.5,-11.254653588971893
340,0.6,-9.535409981809101
320,2.5,-9.77333560566106
340,0.7,-8.74496976572293
340,0.8,-8.396799567360313
340,1.2,-8.319854356619063
340,1.7,-8.910161006780028
340,1.0,-8.219701665551035
340,1.3,-8.415608450036709
340,0.9,-8.25402184122635
340,1.6,-8.778426881230619
340,1.5,-8.64998242417154
340,1.4,-8.527679416423233
340,1.1,-8.24963639264079
340,2.1,-9.433638939823657
340,2.0,-9.305966727077228
340,1.8,-9.042974816064428
340,1.9,-9.175369834248338
340,2.2,-9.557506982603188
340,2.5,-9.899763715802749
340,2.3,-9.676795388656304
340,2.4,-9.791049676563697
360,0.2,-16.36485548854982
340,2.7,-10.100040852583456
340,2.9,-10.277322269831892
340,2.8,-10.191511287580557
360,0.1,-16.364855488549825
360,0.3,-16.18604399108797
340,2.6,-10.002795216030508
360,0.0,-8.252556342234739
360,0.9,-8.276350069780525
360,0.4,-14.082562427738347
360,0.6,-9.514632379874273
360,1.0,-8.252556342234739
360,0.5,-11.223452858279686
360,0.8,-8.406737974494986
360,1.1,-8.291581475542444
360,0.7,-8.740176727876014
360,1.2,-8.369895845225697
360,1.5,-8.719878746679187
360,1.3,-8.47284385815172
360,1.9,-9.265553936183403
360,1.4,-8.591541439947157
360,1.7,-8.990865421390435
360,1.8,-9.128619442803059
360,1.6,-8.85390225934481
360,2.4,-9.900182713266824
360,2.3,-9.78266716625705
360,2.0,-9.400500888887365
360,2.2,-9.659864589290097
360,2.1,-9.532218082039412
360,2.7,-10.217578988469587
360,2.6,-10.117769114951635
360,2.9,-10.39939856336228
380,0.0,-8.282770977726997
360,2.8,-10.311393158287053
360,2.5,-10.011944250674324
380,0.1,-16.36485548854982
380,0.3,-16.183427364227253
380,0.2,-16.364855488549825
380,0.5,-11.197212245865352
380,0.7,-8.737655663232903
380,0.9,-8.297390642429125
380,1.2,-8.415046093372098
380,1.0,-8.282770977726997
380,0.4,-14.064430354149982
380,1.4,-8.64873090835158
380,0.6,-9.49796361993998
380,1.5,-8.782350011871728
380,0.8,-8.41703115239399
380,1.1,-8.329761258911892
380,1.3,-8.524315203053522
380,1.6,-8.921281358746997
380,1.7,-9.062827565164014
380,1.9,-9.345888446699334
380,2.0,-9.484567326238576
380,1.8,-9.204864747608015
380,2.1,-9.619845878779358
380,2.4,-9.997052402975987
380,2.5,-10.111480845881616
380,2.9,-10.5076203248963
380,2.2,-9.750791414961288
380,2.3,-9.876685757733037
380,2.6,-10.219723047994078
380,2.8,-10.417713681457498
380,2.7,-10.321837336130907
