Sigma Colour,Sigma Space,Average Similarity
0,0.0,-16.364853118014192
0,0.1,-16.364855488549825
0,1.5,-16.364828296177937
0,0.8,-16.364855398596465
0,1.6,-16.364821449139757
0,0.2,-16.364855488549825
0,2.5,-16.36478195432291
0,0.7,-16.364855488549825
0,2.9,-16.36477659416087
0,1.2,-16.364846392677617
0,0.6,-16.364855488549825
0,0.9,-16.36485477421431
0,0.5,-16.364855488549825
0,1.9,-16.364801929260423
0,2.1,-16.36479211376132
0,1.4,-16.36483536016246
0,0.4,-16.364855488549825
0,2.4,-16.36478376926425
0,1.1,-16.364850451161608
0,2.2,-16.36478880136109
0,1.3,-16.364841323541157
0,2.7,-16.364779499125294
20,0.3,-16.364855488549825
0,0.3,-16.364855488549825
0,1.0,-16.364853118014192
20,0.2,-16.364855488549825
0,1.7,-16.364814390446604
20,0.8,-15.676578257117015
20,0.7,-15.808542816720388
0,2.0,-16.364796674925866
20,2.3,-14.666268257939507
20,1.4,-15.1188797638083
20,2.5,-14.600836326028741
0,1.8,-16.36480755399117
20,2.7,-14.544826209683274
20,1.0,-15.452896853803948
20,1.8,-14.879961171261336
20,1.1,-15.357549767596495
20,0.6,-15.961306037927807
0,2.3,-16.364786139799882
20,1.5,-15.051976274282488
20,1.2,-15.270918236077664
0,2.8,-16.364777879964794
0,2.6,-16.364780790220593
40,0.2,-16.36485548854982
20,1.7,-14.933034135755411
40,0.0,-13.515354059815303
20,0.1,-16.364855488549825
20,2.9,-14.496955623742318
20,0.4,-16.309278735749324
40,0.3,-16.364855488549825
20,2.2,-14.702908039768952
20,0.0,-15.452896853803948
20,2.1,-14.74239451740826
20,0.9,-15.558912096432714
20,1.3,-15.19162243289511
20,2.0,-14.784922191189372
40,0.1,-16.364855488549825
40,0.4,-16.05009881535445
20,1.9,-14.830682021514898
20,1.6,-14.990189659994494
20,0.5,-16.13383361582922
20,2.8,-14.519949390757526
40,1.3,-12.890230696717774
40,0.7,-14.468400781210017
40,1.0,-13.515354059815303
20,2.4,-14.632297635733593
20,2.6,-14.571757372884365
40,2.4,-11.792863771285981
40,1.2,-13.073056040139603
40,0.9,-13.78505587775791
40,0.6,-14.9209390174206
40,1.6,-12.45345836914006
40,1.7,-12.33727720616121
40,2.3,-11.848259172819374
40,1.1,-13.279965723959677
40,2.1,-11.978355533399514
40,2.0,-12.05446946396644
40,0.5,-15.4773480398824
40,1.5,-12.582994695968855
40,1.9,-12.138963909991949
40,0.8,-14.097968475304926
40,1.4,-12.727825655189593
40,2.2,-11.909866504767551
40,1.8,-12.23293184185158
40,2.5,-11.743054357059302
40,2.7,-11.657982833766235
60,0.3,-16.364852160275472
40,2.9,-11.58902095735521
60,0.5,-14.713225245798087
40,2.8,-11.621703981860662
60,1.2,-11.048672022764931
40,2.6,-11.698270483660806
60,0.2,-16.364855488549825
60,0.4,-15.745308620033745
60,0.1,-16.364855488549825
60,0.0,-11.63214590557911
60,0.9,-12.010964822605834
60,0.6,-13.76626305440214
60,0.8,-12.469561137235681
60,0.7,-13.037157347011666
60,1.0,-11.63214590557911
60,1.9,-10.009206578337968
60,1.3,-10.822754251904884
60,1.6,-10.325022552895012
60,1.5,-10.466006418521536
60,1.4,-10.630408202425794
60,1.8,-10.099292027892906
60,1.1,-11.315421735432729
60,2.0,-9.931534025885318
60,1.7,-10.203736854162912
60,2.1,-9.86457268576565
60,2.2,-9.806818299671514
60,2.3,-9.757101749061615
60,2.5,-9.677570056418324
60,2.6,-9.64591683915488
60,2.4,-9.714357943810942
60,2.8,-9.595330090313597
80,0.1,-16.364855488549825
60,2.9,-9.57516955785235
80,0.8,-11.120369814776083
60,2.7,-9.618740193231673
80,0.0,-10.18895077574297
80,0.2,-16.364855488549825
80,0.4,-15.446988431320483
80,1.0,-10.188950775742969
80,0.6,-12.720806435690989
80,0.5,-13.989524280274692
80,0.3,-16.364297872956474
80,1.2,-9.599191036725395
80,0.7,-11.799326163605988
80,1.1,-9.861982177127862
80,1.4,-9.214530633098528
80,1.9,-8.728607429267132
80,0.9,-10.59912745028193
80,1.5,-9.07420798288033
80,1.6,-8.959708180502574
80,1.3,-9.386854038036008
80,1.8,-8.79027314094659
80,2.0,-8.678806555318374
80,1.7,-8.86635606935222
80,2.1,-8.638915409256256
80,2.2,-8.6072956334776
80,2.4,-8.563482907147007
80,2.5,-8.5490833794847
80,2.3,-8.582549321004516
100,0.0,-9.22741194909969
80,2.7,-8.531010950266037
80,2.6,-8.538510541877777
100,0.1,-16.364855488549825
100,0.4,-15.18308267353072
80,2.8,-8.526051001312133
100,0.2,-16.364855488549825
80,2.9,-8.523131919503554
100,0.3,-16.357110848108647
100,0.5,-13.37243533972506
100,0.6,-11.87658079274352
100,0.7,-10.851840231994165
100,1.1,-8.931042166198848
100,0.9,-9.617565524038861
100,0.8,-10.137958120297318
100,1.0,-9.227411949099688
100,1.3,-8.530474129773195
100,1.2,-8.70438723283693
100,1.8,-8.117146478952415
100,1.4,-8.397083973430869
100,1.5,-8.295039504976286
100,2.0,-8.067174042778772
100,1.9,-8.087157515277362
100,2.1,-8.055199022763619
100,2.2,-8.049662102369632
100,1.6,-8.21755222469901
100,1.7,-8.159633827170937
100,2.3,-8.049151537675455
100,2.5,-8.059069350781831
100,2.4,-8.052609810512502
100,2.6,-8.067817854857438
100,2.9,-8.101937656775478
120,0.0,-8.638509830717087
100,2.8,-8.089691797773161
100,2.7,-8.078190181131356
120,0.2,-16.36485548854982
120,0.1,-16.364855488549825
120,0.6,-11.236574767773229
120,0.5,-12.876852398979942
120,0.3,-16.335809728195652
120,0.8,-9.472467662613345
120,0.7,-10.17387404213957
120,0.4,-14.961212078996573
120,0.9,-8.986056837486194
120,1.0,-8.638509830717085
120,1.4,-7.982019545447252
120,1.2,-8.205461614614995
120,1.9,-7.837070128232856
120,1.3,-8.074692693920293
120,1.5,-7.91801267584665
120,1.1,-8.38725631475769
120,1.7,-7.850888858791552
120,2.7,-7.988491091844582
120,2.4,-7.914582341465246
120,1.8,-7.838834208886436
120,2.5,-7.938474324538095
140,0.3,-16.306296517264084
120,2.2,-7.872020421910471
120,1.6,-7.875975872265042
120,2.9,-8.038407196048757
120,2.3,-7.892124299628423
120,2.6,-7.963306881118865
120,2.0,-7.843185390532834
140,0.1,-16.364855488549825
140,0.0,-8.299779893650152
120,2.8,-8.01362894484115
140,0.5,-12.490812333033334
140,0.2,-16.36485548854982
120,2.1,-7.8553120666232275
140,0.6,-10.766425764158035
140,0.4,-14.780062630186322
140,1.0,-8.299779893650152
140,0.8,-9.039352674660535
140,0.7,-9.7050114562484
140,1.2,-7.95649686138966
140,0.9,-8.599294234395938
140,1.3,-7.865681694296318
140,1.4,-7.809622267634912
140,1.8,-7.784582447927693
140,1.6,-7.767774424316479
140,1.1,-8.094920548535173
140,2.3,-7.939620415018986
140,1.5,-7.7791553658788395
140,1.7,-7.770765029629792
140,2.0,-7.834616311664139
140,2.1,-7.867000267701202
140,2.2,-7.902374030054074
140,2.6,-8.05467710807183
140,2.7,-8.092171277506628
140,2.9,-8.16374930455469
140,2.5,-8.01646435944127
140,1.9,-7.806592003472158
140,2.4,-7.977920667104283
140,2.8,-8.128600108121823
160,1.1,-7.956348671164505
160,0.3,-16.278235629802424
160,0.4,-14.634099824863982
160,0.1,-16.36485548854982
160,0.0,-8.118785392149876
160,0.5,-12.193848043078392
160,1.2,-7.856402602966649
160,0.8,-8.764361239278779
160,0.6,-10.425153406461817
160,0.2,-16.364855488549825
160,1.0,-8.118785392149876
160,0.9,-8.372245384683538
160,0.7,-9.385887584416997
160,1.3,-7.800376681286522
160,1.8,-7.8504810949148505
160,1.4,-7.775700580057371
160,1.5,-7.77365579729516
160,2.3,-8.091232360198822
160,1.6,-7.7882066370933885
160,2.1,-7.988370945902557
160,1.9,-7.892474900789909
160,2.0,-7.938940431106455
160,1.7,-7.814868289442232
160,2.2,-8.039486054329375
160,2.5,-8.193737479814994
160,2.4,-8.142889538161667
160,2.6,-8.243318470709893
160,2.9,-8.381298751282259
160,2.8,-8.337310774638976
160,2.7,-8.291302064529113
180,0.2,-16.364855488549825
180,0.0,-8.034005063760425
180,0.9,-8.246207312315065
180,0.1,-16.364855488549825
180,0.4,-14.517040045077424
180,0.3,-16.25562965701778
180,0.5,-11.965828760633594
180,0.6,-10.177795495415067
180,1.2,-7.841746644729052
180,1.4,-7.8172515084967
180,0.8,-8.593360455647424
180,0.7,-9.169956049422789
180,1.0,-8.034005063760423
180,1.3,-7.8153218660365456
180,1.1,-7.908638990620848
180,1.7,-7.922444656776708
180,1.5,-7.839310099205645
180,1.6,-7.875720113694276
180,1.8,-7.976456009441165
180,2.0,-8.097613127780802
180,1.9,-8.035376910720506
180,2.5,-8.41479854701405
180,2.1,-8.161503491904812
180,2.2,-8.226028842095362
180,2.4,-8.353342749439506
180,2.7,-8.53108502950449
180,2.3,-8.290241620230622
180,2.9,-8.637035802030303
180,2.6,-8.474131820957
180,2.8,-8.58540995958533
200,0.2,-16.36485548854982
200,0.0,-8.006593946464754
200,0.1,-16.364855488549825
200,0.4,-14.423001198221101
200,0.5,-11.789963219869762
200,0.3,-16.238507886666213
200,0.7,-9.024117004051034
200,0.6,-9.997562851259936
200,0.8,-8.489827264359974
200,1.1,-7.91299994543535
200,1.2,-7.8743125922895
200,0.9,-8.182837010901883
200,1.3,-7.8729282682691135
200,1.4,-7.897420383126814
200,1.0,-8.006593946464754
200,1.6,-7.9947958223796585
200,1.5,-7.939840530893306
200,1.7,-8.058615218593228
200,2.3,-8.50489812453804
200,1.8,-8.128321422026753
200,2.1,-8.353877336972444
200,2.7,-8.781074430882017
200,1.9,-8.201783188864004
200,2.4,-8.577907780491618
220,0.0,-8.012469477766343
200,2.2,-8.429973562601381
200,2.6,-8.716378317464079
200,2.0,-8.27744454819771
220,0.4,-14.3470494165244
200,2.5,-8.648523348908176
220,1.1,-7.945959407201848
220,0.2,-16.364855488549825
220,0.9,-8.157793614225719
200,2.9,-8.900827763527046
220,0.8,-8.429719507853099
220,1.2,-7.931204415605186
220,1.0,-8.012469477766345
220,0.5,-11.653203590531794
220,0.1,-16.364855488549825
220,0.6,-9.86523571611532
220,0.3,-16.225678193311506
