Sigma Colour,Sigma Space,Average Similarity
110,2.5,-7.965369072502113
110,2.3,-7.93641266758364
110,3.1,-8.075188950738704
110,3.0,-8.056759359054576
110,3.5,-8.143339532495661
110,3.8,-8.187514215276721
110,3.6,-8.158783794366531
110,3.4,-8.127221318878822
110,3.2,-8.093126238260927
110,4.0,-8.213593176209999
110,4.3,-8.247961889660624
110,4.1,-8.22563002593239
110,3.7,-8.173483014879386
110,3.3,-8.110462954814244
110,3.9,-8.2008957830838
110,4.5,-8.268031045381239
110,4.2,-8.23709450771023
110,4.7,-8.286159071068361
110,4.9,-8.302513444006022
120,0.0,-8.638509830717085
110,4.6,-8.277340694396768
120,0.2,-16.364855488549825
120,0.4,-14.961212078996573
110,4.8,-8.294531009209404
110,4.4,-8.258252712898122
120,0.1,-16.364855488549825
120,0.3,-16.335809728195652
120,0.5,-12.876852398979942
120,0.7,-10.17387404213957
120,1.0,-8.638509830717087
120,0.6,-11.236574767773229
120,0.8,-9.472467662613345
120,1.1,-8.38725631475769
120,0.9,-8.986056837486194
120,1.3,-8.074692693920293
120,1.4,-7.982019545447252
120,1.2,-8.205461614614995
120,1.6,-7.875975872265042
120,1.5,-7.91801267584665
120,1.7,-7.850888858791552
120,2.5,-7.938474324538095
120,1.8,-7.838834208886436
120,2.1,-7.855312066623227
120,2.4,-7.914582341465244
120,1.9,-7.837070128232856
120,2.0,-7.843185390532834
120,2.2,-7.872020421910473
120,2.3,-7.892124299628423
120,2.7,-7.988491091844583
120,2.9,-8.038407196048757
120,2.8,-8.01362894484115
120,2.6,-7.963306881118864
120,3.1,-8.085960759888742
120,3.3,-8.130234089758554
120,3.0,-8.062547296948068
120,3.2,-8.108565732603664
120,3.5,-8.1706886137205
120,3.6,-8.189453879599563
120,3.7,-8.20729460483446
120,3.4,-8.150939316277414
120,3.9,-8.240177680323365
120,4.3,-8.296147010756687
120,4.0,-8.255337562580554
120,4.1,-8.269695632326199
120,3.8,-8.2241911795925
120,4.5,-8.319878940343482
120,4.2,-8.283287394681016
120,4.4,-8.308324251218698
120,4.6,-8.330805617432885
120,4.7,-8.341138110242015
130,0.2,-16.364855488549825
130,0.1,-16.36485548854982
120,4.8,-8.350980981615947
130,0.0,-8.44444386768466
130,0.8,-9.231950620007245
130,0.5,-12.671351442997953
120,4.9,-8.360279016065162
130,0.4,-14.865861950248975
130,0.7,-9.917245897523523
130,0.9,-8.768011446131291
130,0.3,-16.321374579002395
130,1.3,-7.946917770309743
130,0.6,-10.982933968983998
130,1.0,-8.44444386768466
130,1.5,-7.826598001350612
130,1.1,-8.216723352099933
130,1.2,-8.057090032900916
130,1.6,-7.800536364376387
130,1.4,-7.873206499306004
130,1.9,-7.802098409781203
130,1.7,-7.790036426031477
130,2.0,-7.819680037588228
130,2.1,-7.842361333084258
130,1.8,-7.7915153333652505
130,2.7,-8.023589618078349
130,2.8,-8.054584043382834
130,2.2,-7.868826744239061
130,2.3,-7.897906491089558
130,2.9,-8.084767967739381
130,2.4,-7.928596344896509
130,2.6,-7.991974599245076
130,3.0,-8.113907369542334
130,3.3,-8.19433170113489
130,3.7,-8.284161878925486
130,2.5,-7.960172477420965
130,3.8,-8.303706289069126
130,3.1,-8.141957885910607
130,3.6,-8.263505645240114
130,3.2,-8.168781946407016
130,3.4,-8.218652534210532
130,4.3,-8.38629726377115
130,3.9,-8.322169248158803
130,4.1,-8.356054345883924
130,3.5,-8.241692976437344
130,4.0,-8.339587240219455
140,0.0,-8.299779893650152
130,4.5,-8.413310210451497
130,4.2,-8.371600583117901
130,4.4,-8.400207725592553
130,4.6,-8.425724065292508
140,0.2,-16.36485548854982
140,0.1,-16.36485548854982
130,4.8,-8.448592252124413
130,4.7,-8.43745952892462
140,0.7,-9.7050114562484
140,0.6,-10.766425764158035
140,0.4,-14.780062630186322
130,4.9,-8.459148189082219
140,0.3,-16.306296517264084
140,0.9,-8.599294234395938
140,0.5,-12.490812333033338
140,1.1,-8.094920548535173
140,1.4,-7.809622267634913
140,1.0,-8.299779893650152
140,0.8,-9.039352674660535
140,1.3,-7.865681694296318
140,1.2,-7.95649686138966
140,1.6,-7.767774424316481
140,2.0,-7.834616311664139
140,1.7,-7.77076502962979
140,1.8,-7.784582447927694
140,1.5,-7.7791553658788395
140,1.9,-7.806592003472158
140,2.5,-8.01646435944127
140,2.3,-7.939620415018985
140,2.2,-7.902374030054074
140,3.0,-8.197490498067738
140,2.1,-7.867000267701202
140,2.4,-7.977920667104283
140,2.6,-8.05467710807183
140,2.9,-8.16374930455469
140,3.2,-8.260407169972865
140,2.7,-8.092171277506628
140,2.8,-8.128600108121823
140,3.3,-8.28954865128587
140,3.7,-8.391144538203362
140,3.1,-8.229715554138314
140,3.6,-8.3678735984261
140,3.8,-8.413101153549205
140,3.4,-8.317147421875294
140,4.1,-8.471636281902914
140,3.9,-8.433782314898313
140,3.5,-8.343252426952262
140,4.4,-8.520792486570386
140,4.2,-8.488996814931395
140,4.0,-8.453268922070462
140,4.3,-8.505355637914738
140,4.5,-8.535377926664347
140,4.7,-8.56220986072553
150,0.0,-8.194027552947288
140,4.6,-8.549176777530269
140,4.9,-8.586246917404148
140,4.8,-8.574544059219702
150,0.1,-16.364855488549825
150,0.2,-16.364855488549825
150,0.7,-9.529963046524342
150,0.5,-12.332537669398581
150,0.4,-14.70304458367955
150,0.3,-16.291699171578227
150,0.8,-8.885913506859081
150,0.6,-10.582107941027676
150,1.2,-7.892533275229812
150,0.9,-8.470023936695187
150,1.1,-8.01106546454265
150,1.0,-8.194027552947288
150,1.4,-7.780050592310076
150,1.6,-7.766508886354956
150,1.5,-7.764392913444589
150,1.3,-7.819775425190489
150,1.7,-7.7818509770818745
150,2.1,-7.91834663034498
150,1.9,-7.839419762935429
150,1.8,-7.807032658530736
150,2.0,-7.877115359110962
150,2.2,-7.961912958545722
150,2.5,-8.09692572536168
150,2.8,-8.22534193706541
150,2.7,-8.183922552188083
150,2.4,-8.051947050022916
150,2.3,-8.006707287699593
150,2.6,-8.141052129644763
150,2.9,-8.265115085483421
150,3.0,-8.303072631137502
150,3.1,-8.339226082766489
150,3.2,-8.373495112019025
150,4.2,-8.625846037816899
150,3.3,-8.405898053506629
150,3.5,-8.465451490946268
150,3.6,-8.492690633289865
150,4.5,-8.676580220216833
150,3.4,-8.436532453712223
150,4.3,-8.643749740987234
150,4.0,-8.58668007987689
150,3.9,-8.565260819452682
150,4.1,-8.606834723038682
150,4.6,-8.691642460746364
150,3.7,-8.518342829021773
150,4.4,-8.660630314629763
150,4.9,-8.732019069223577
150,4.7,-8.70588194021399
160,0.2,-16.36485548854982
150,3.8,-8.542523260775047
160,0.0,-8.118785392149878
160,0.1,-16.364855488549825
150,4.8,-8.719325242483569
160,0.4,-14.634099824863982
160,0.9,-8.372245384683538
160,0.5,-12.193848043078392
160,0.7,-9.385887584416997
160,0.8,-8.764361239278777
160,0.6,-10.425153406461817
160,0.3,-16.278235629802428
160,1.1,-7.956348671164505
160,1.0,-8.118785392149878
160,1.2,-7.856402602966649
160,1.4,-7.775700580057371
160,1.5,-7.773655797295159
160,1.7,-7.814868289442233
160,1.3,-7.800376681286522
160,1.9,-7.89247490078991
160,2.0,-7.938940431106455
160,2.4,-8.142889538161667
160,1.6,-7.7882066370933885
160,1.8,-7.8504810949148505
160,2.1,-7.988370945902557
160,2.3,-8.091232360198823
160,2.2,-8.039486054329375
160,3.1,-8.462954237486947
160,2.5,-8.193737479814994
160,2.6,-8.243318470709893
160,2.9,-8.381298751282259
160,3.3,-8.535980444858948
160,2.7,-8.291302064529114
160,2.8,-8.337310774638976
160,3.0,-8.42320601673268
160,3.4,-8.569422284169397
160,3.5,-8.600928036125946
160,3.2,-8.50050792429847
160,4.0,-8.732505828025344
160,3.7,-8.658446950777902
160,3.9,-8.709312809024189
160,4.4,-8.812476477196103
160,3.8,-8.684671779023073
160,4.7,-8.861172628627275
160,3.6,-8.630540264542462
160,4.3,-8.794214145849661
160,4.6,-8.84587420232005
160,4.2,-8.774870024801304
160,4.1,-8.754330614074979
170,0.0,-8.067224326707558
160,4.5,-8.829650309378183
160,4.8,-8.875652558720176
160,4.9,-8.889339756299625
170,0.2,-16.36485548854982
170,0.1,-16.36485548854982
170,0.3,-16.266197504858855
170,0.5,-12.0723682038278
170,0.4,-14.572349646978564
170,0.6,-10.291599482088763
170,0.7,-9.267326869305977
170,0.8,-8.668506361057212
170,1.1,-7.923961455640947
170,0.9,-8.299366219308496
170,1.2,-7.84121422136815
170,2.0,-8.01398613905486
170,1.5,-7.800331085515253
170,1.6,-7.8262613535428285
170,1.7,-7.863341277167557
170,1.9,-7.959322354663203
170,1.4,-7.789791583565634
170,1.3,-7.800578959938498
170,1.0,-8.067224326707558
170,1.8,-7.908568033293157
170,2.1,-8.070930320518007
170,2.6,-8.355798074049863
170,2.2,-8.129005009365097
170,2.7,-8.408382459509452
170,2.4,-8.244828533654813
170,2.3,-8.18722217904461
170,2.5,-8.301176705313594
170,3.1,-8.595307755423203
170,2.8,-8.45873955742015
170,3.0,-8.552241557326768
170,2.9,-8.506710208538136
170,3.2,-8.635991808614127
170,3.6,-8.776089194450932
170,3.4,-8.710308100632453
170,4.2,-8.930761633414189
170,3.3,-8.674257640310417
170,4.1,-8.908779418400087
170,4.0,-8.885405979413678
170,3.5,-8.744212204973612
170,3.9,-8.860531583937298
170,3.8,-8.834118022958044
170,4.3,-8.951429010733573
170,4.4,-8.97091776620364
170,3.7,-8.806009745949273
170,4.5,-8.989253065599959
170,4.6,-9.006552171065639
170,4.7,-9.02290044834025
170,4.8,-9.038304760336096
170,4.9,-9.052871320807
180,0.0,-8.034005063760423
180,0.5,-11.965828760633597
180,0.1,-16.36485548854982
180,0.4,-14.517040045077428
180,0.2,-16.364855488549825
180,0.6,-10.177795495415067
180,1.3,-7.8153218660365456
180,0.7,-9.169956049422789
180,0.9,-8.246207312315065
180,0.3,-16.255629657017785
180,0.8,-8.593360455647424
180,1.0,-8.034005063760423
180,1.4,-7.8172515084967
180,1.1,-7.908638990620848
180,1.2,-7.841746644729052
180,1.6,-7.875720113694275
180,2.0,-8.097613127780802
180,1.5,-7.839310099205644
180,1.7,-7.922444656776708
180,1.8,-7.976456009441165
180,1.9,-8.035376910720506
180,2.1,-8.161503491904814
180,2.3,-8.290241620230624
180,2.4,-8.353342749439506
180,2.2,-8.226028842095362
180,2.7,-8.53108502950449
180,2.8,-8.585409959585329
180,2.5,-8.41479854701405
